index,est,value,num_actions_per_user,se,bias,variance,true_value
0,cavg,4.523849197705567,3,0.4123106199832973,0.47123258770137977,0.001966891325192711,5.165963377570252
0,cips,5.155085299316392,3,0.00011833258649710669,0.0015816056114933902,0.0008347087883508316,5.165963377570252
0,cdr,5.230056154006403,3,0.004107883991294372,0.0013491180398537079,0.010165301256253251,5.165963377570252
1,cavg,4.377288139434697,3,0.6220086312481748,0.47123258770137977,0.010447172280160075,5.165963377570252
1,cips,4.9524655519031455,3,0.0455813215645822,0.0015816056114933902,0.030181563983937232,5.165963377570252
1,cdr,5.1077254769134015,3,0.003391653072917191,0.0013491180398537079,0.0004625750697649941,5.165963377570252
2,cavg,4.520471141686923,3,0.41666022658565904,0.47123258770137977,0.0016786713933399165,5.165963377570252
2,cips,5.28372005739884,3,0.013866635644252598,0.0015816056114933902,0.02481446754972035,5.165963377570252
2,cdr,5.3025289938126585,3,0.01865016753966824,0.0013491180398537079,0.030031489220609074,5.165963377570252
3,cavg,4.485837258381836,3,0.4625715380022955,0.47123258770137977,4.01665580487046e-05,5.165963377570252
3,cips,5.105578174847515,3,0.003646372707866092,0.0015816056114933902,0.0004250110963368809,5.165963377570252
3,cdr,5.04013270062855,3,0.015833359259607067,0.0013491180398537079,0.007938869646899866,5.165963377570252
4,cavg,4.625637703879514,3,0.2919518336493499,0.47123258770137977,0.021356360261784568,5.165963377570252
4,cips,5.2322317369580915,3,0.004391495455955853,0.0015816056114933902,0.011244007576196103,5.165963377570252
4,cdr,5.212457947361211,3,0.0021617450200463887,0.0013491180398537079,0.0069263859798106035,5.165963377570252
5,cavg,4.715191227634087,3,0.20319553115807282,0.47123258770137977,0.05555056729702923,5.165963377570252
5,cips,5.471508598393942,3,0.09335788196819773,0.0015816056114933902,0.11924219113283838,5.165963377570252
5,cdr,5.338860276811409,3,0.02989333776720673,0.0013491180398537079,0.04394358036407172,5.165963377570252
6,cavg,4.374630043205189,3,0.6262084460773294,0.47123258770137977,0.010997613281387786,5.165963377570252
6,cips,4.909235406371745,3,0.06590925119570148,0.0015816056114933902,0.047071019242664755,5.165963377570252
6,cdr,4.992425887869413,3,0.030115260331668663,0.0013491180398537079,0.018716195600892677,5.165963377570252
7,cavg,4.46147846788388,3,0.4962989879758162,0.47123258770137977,0.0003247593707354182,5.165963377570252
7,cips,5.160385166478145,3,3.1116438988107914e-05,0.0015816056114933902,0.0011690377730350996,5.165963377570252
7,cdr,5.084280934609327,3,0.006672021488064707,0.0013491180398537079,0.0020206913607096768,5.165963377570252
8,cavg,4.545678148802715,3,0.3847537650271961,0.47123258770137977,0.004379607049294035,5.165963377570252
8,cips,5.244085753897858,3,0.006103105683072093,0.0015816056114933902,0.013898472215580717,5.165963377570252
8,cdr,5.214095453503321,3,0.002316696733626678,0.0013491180398537079,0.007201630015376326,5.165963377570252
9,cavg,4.38786703816805,3,0.6054339133911067,0.47123258770137977,0.008396517072596024,5.165963377570252
9,cips,5.227730592187754,3,0.0038151888016045676,0.0015816056114933902,0.010309685218937032,5.165963377570252
9,cdr,5.25372574221482,3,0.00770223264800604,0.0013491180398537079,0.015498434063332766,5.165963377570252
10,cavg,4.506349030855221,3,0.4350910863922975,0.47123258770137977,0.0007208946667434571,5.165963377570252
10,cips,5.023043827510731,3,0.02042599778921582,0.0015816056114933902,0.01063995232869344,5.165963377570252
10,cdr,5.02460680258773,3,0.019981681290789387,0.0013491180398537079,0.010946648581349961,5.165963377570252
11,cavg,4.721264235693523,3,0.19775732678589913,0.47123258770137977,0.05845016364962334,5.165963377570252
11,cips,5.443563298703249,3,0.07706171621304611,0.0015816056114933902,0.10072328946888762,5.165963377570252
11,cdr,5.3469728865431,3,0.032764442338591646,0.0013491180398537079,0.047410642798997704,5.165963377570252
12,cavg,4.564776103023598,3,0.3614261390768342,0.47123258770137977,0.007272090637077131,5.165963377570252
12,cips,5.226500772827682,3,0.003664776224554357,0.0015816056114933902,0.01006145427231399,5.165963377570252
12,cdr,5.246111513314447,3,0.00642372366326989,0.0013491180398537079,0.013660578612039467,5.165963377570252
13,cavg,4.449863505592017,3,0.5127990266472449,0.47123258770137977,0.0008782950789799023,5.165963377570252
13,cips,5.196264019930654,3,0.0009181289274529731,0.0015816056114933902,0.004909811603053676,5.165963377570252
13,cdr,5.039053462915317,3,0.016106126437722957,0.0013491180398537079,0.008132355283920704,5.165963377570252
14,cavg,4.720426631331386,3,0.19850299224911563,0.47123258770137977,0.05804585891860592,5.165963377570252
14,cips,5.419790793619267,3,0.06442835713811979,0.0015816056114933902,0.08619909360648272,5.165963377570252
14,cdr,5.399300315710651,3,0.054446126700736244,0.0013491180398537079,0.07293633592314001,5.165963377570252
15,cavg,4.536813724320489,3,0.39582928618429664,0.47123258770137977,0.0032849146731349734,5.165963377570252
15,cips,5.258566868039957,3,0.008575406447172798,0.0015816056114933902,0.017522583579650853,5.165963377570252
15,cdr,5.3256766204647175,3,0.02550831995586651,0.0013491180398537079,0.03859008213399013,5.165963377570252
16,cavg,4.589897635505324,3,0.3318517391808167,0.47123258770137977,0.012187737466412963,5.165963377570252
16,cips,5.392213097697997,3,0.051188935857883006,0.0015816056114933902,0.07076617518416432,5.165963377570252
16,cdr,5.3282562865708,3,0.026338988311860025,0.0013491180398537079,0.03961025452778105,5.165963377570252
17,cavg,4.367870754162722,3,0.6369518355375129,0.47123258770137977,0.01246098787486639,5.165963377570252
17,cips,5.010815539478474,3,0.024070851664552462,0.0015816056114933902,0.013312182714095264,5.165963377570252
17,cdr,4.912053604062885,3,0.0644701730825623,0.0013491180398537079,0.04716690537279397,5.165963377570252
18,cavg,4.504971017490234,3,0.4369109000841517,0.47123258770137977,0.0006487956983682641,5.165963377570252
18,cips,5.095432430275639,3,0.004974614526275502,0.0015816056114933902,0.0009462724553840139,5.165963377570252
18,cdr,5.185216229954268,3,0.0003706723249206967,0.0013491180398537079,0.003134118078460348,5.165963377570252
19,cavg,4.3700944085942774,3,0.6334074157788808,0.47123258770137977,0.011969484784481416,5.165963377570252
19,cips,4.894440072283071,3,0.07372490531407548,0.0015816056114933902,0.053709870080144724,5.165963377570252
19,cdr,4.931385740714717,3,0.055026667712727365,0.0013491180398537079,0.03914355199322462,5.165963377570252
20,cavg,4.260290942532807,3,0.8202425595866554,0.47123258770137977,0.048052413223995616,5.165963377570252
20,cips,4.858305256421285,3,0.09465351950891264,0.0015816056114933902,0.07176436398774852,5.165963377570252
20,cdr,4.963408333887304,3,0.04102854572140105,0.0013491180398537079,0.027497831614122878,5.165963377570252
21,cavg,4.438480833479909,3,0.5292308519561575,0.47123258770137977,0.001682535036897413,5.165963377570252
21,cips,5.098095111967963,3,0.004606101475862887,0.0015816056114933902,0.0007895459406943035,5.165963377570252
21,cdr,5.1704318358712245,3,1.9967119587529346e-05,0.0013491180398537079,0.0016973411646533409,5.165963377570252
22,cavg,4.720678972683282,3,0.1982782012355432,0.47123258770137977,0.058167514326005414,5.165963377570252
22,cips,5.360594128067927,3,0.03788112903928812,0.0015816056114933902,0.054943433118001046,5.165963377570252
22,cdr,5.322254887881433,3,0.024427036195350083,0.0013491180398537079,0.037257435555911204,5.165963377570252
23,cavg,4.5549178753029995,3,0.3733766058410389,0.47123258770137977,0.005687923916642952,5.165963377570252
23,cips,5.032467357411281,3,0.01782118739828451,0.0015816056114933902,0.008784678300922647,5.165963377570252
23,cdr,4.9252959465216755,3,0.05792081236752136,0.0013491180398537079,0.041590336198456715,5.165963377570252
24,cavg,4.324229663412991,3,0.7085156455489775,0.47123258770137977,0.02410873742311921,5.165963377570252
24,cips,4.94297208117296,3,0.04972511826894493,0.0015816056114933902,0.03357026131471391,5.165963377570252
