index,est,value,num_def_actions,se,bias,variance,true_value
0,cavg,28.89914225703109,0.0,0.16942992161198922,0.07711627580812036,0.01793469670172163,29.31076091745842
0,cips,29.147321375734624,0.0,0.02671248379888472,0.0011039992122980685,0.016955440506433325,29.31076091745842
0,cdr,29.056442748786328,0.0,0.06467773091672703,0.0010897176484362646,0.04897691970621794,29.31076091745842
1,cavg,29.26500167422846,0.0,0.0020939083409785638,0.07711627580812036,0.05379566757767253,29.31076091745842
1,cips,29.55666282796126,0.0,0.060467749588947246,0.0011039992122980685,0.07791266039339764,29.31076091745842
1,cdr,29.413087681125457,0.0,0.010470766562569614,0.0010897176484362646,0.01831627553871529,29.31076091745842
2,cavg,29.24219297558456,0.0,0.004701562652816869,0.07711627580812036,0.04373545396291591,29.31076091745842
2,cips,29.517343771172403,0.0,0.042676475448612576,0.0011039992122980685,0.05750851826208356,29.31076091745842
2,cdr,29.475662341088874,0.0,0.027192479515350382,0.0010897176484362646,0.03916927663123225,29.31076091745842
3,cavg,28.891573903952718,0.0,0.17571775229182984,0.07711627580812036,0.02001909172240828,29.31076091745842
3,cips,29.041617211522244,0.0,0.07243833444505919,0.0011039992122980685,0.05565693579569039,29.31076091745842
3,cdr,29.103992257384903,0.0,0.042753278788598,0.0010897176484362646,0.030191769030760342,29.31076091745842
4,cavg,29.01415353464986,0.0,0.08797593953654353,0.07711627580812036,0.00035755818013628784,29.31076091745842
4,cips,29.227919951409348,0.0,0.006862625655943626,0.0011039992122980685,0.002461596868873016,29.31076091745842
4,cdr,29.220827430473555,0.0,0.008088032081256908,0.0010897176484362646,0.0032401841342443627,29.31076091745842
5,cavg,29.566442584570055,0.0,0.06537311489698464,0.07711627580812036,0.2844940548374047,29.31076091745842
5,cips,29.703146156968913,0.0,0.1539661761857064,0.0011039992122980685,0.1811453388475068,29.31076091745842
5,cdr,29.69880879454745,0.0,0.15058115491330232,0.0010897176484362646,0.17729046990681338,29.31076091745842
6,cavg,27.9949715268714,0.0,1.7313017203813643,0.07711627580812036,1.0776333740852628,29.31076091745842
6,cips,27.994391002420194,0.0,1.7328297532177475,0.0011039992122980685,1.6464570656478166,29.31076091745842
6,cdr,28.059694172934957,0.0,1.565167999252536,0.0010897176484362646,1.4836601093919612,29.31076091745842
7,cavg,28.776598141685664,0.0,0.2853298710212561,0.07711627580812036,0.06577409199461053,29.31076091745842
7,cips,29.116974874191175,0.0,0.0375530305651746,0.0011039992122980685,0.025779372201134024,29.31076091745842
7,cdr,29.19274782433608,0.0,0.013927090148301985,0.0010897176484362646,0.007225377651773204,29.31076091745842
8,cavg,28.896875953550545,0.0,0.17130076334902353,0.07711627580812036,0.01854684176248506,29.31076091745842
8,cips,28.891035528944823,0.0,0.17616940176289067,0.0011039992122980685,0.14938140350084114,29.31076091745842
8,cdr,29.084073815593314,0.0,0.05138704215200124,0.0010897176484362646,0.03751048214245267,29.31076091745842
9,cavg,28.47044017361905,0.0,0.7061389525267533,0.07711627580812036,0.3165441561631913,29.31076091745842
9,cips,28.536509313359186,0.0,0.5994655464502373,0.0011039992122980685,0.5491182292136477,29.31076091745842
9,cdr,28.67077169550518,0.0,0.40958620421631314,0.0010897176484362646,0.3684227177121393,29.31076091745842
10,cavg,29.55089528650006,0.0,0.05766451519502708,0.07711627580812036,0.2681505425680545,29.31076091745842
10,cips,29.76932185961753,0.0,0.21027813767385076,0.0011039992122980685,0.24185487213295173,29.31076091745842
10,cdr,29.746271237665777,0.0,0.18966923900711416,0.0010897176484362646,0.21951210723850592,29.31076091745842
11,cavg,30.037396991355994,0.0,0.5279999838892798,0.07711627580812036,1.008687281374075,29.31076091745842
11,cips,30.13168042200229,0.0,0.6739088329405526,0.0011039992122980685,0.7295653690591057,29.31076091745842
11,cdr,30.296610006423457,0.0,0.9718984262131919,0.0010897176484362646,1.038075619385939,29.31076091745842
12,cavg,28.972654305968252,0.0,0.11431608073336376,0.07711627580812036,0.0036491793275767624,29.31076091745842
12,cips,29.169053729162894,0.0,0.02008092721462394,0.0011039992122980685,0.011768063291639711,29.31076091745842
12,cdr,29.137832230120445,0.0,0.02990433090443533,0.0010897176484362646,0.019576995141199878,29.31076091745842
13,cavg,29.178317333576555,0.0,0.017541302911472833,0.07711627580812036,0.02109889593217717,29.31076091745842
13,cips,29.503683056750546,0.0,0.03721895182905033,0.0011039992122980685,0.05114319963516768,29.31076091745842
13,cdr,29.52432215139973,0.0,0.04560840064253465,0.0010897176484362646,0.06079780326576689,29.31076091745842
14,cavg,29.205259962346464,0.0,0.01113045152953512,0.07711627580812036,0.029651882171188988,29.31076091745842
14,cips,29.47115879681237,0.0,0.025727479701244657,0.0011039992122980685,0.03749039392860662,29.31076091745842
14,cdr,29.402610247280723,0.0,0.008436299388806134,0.0010897176484362646,0.015590069916785623,29.31076091745842
15,cavg,28.964226150283043,0.0,0.12008634486129313,0.07711627580812036,0.004738476568622207,29.31076091745842
15,cips,29.151469846732837,0.0,0.02537364521290276,0.0011039992122980685,0.015892280127610445,29.31076091745842
15,cdr,29.14608049160954,0.0,0.027119642657769154,0.0010897176484362646,0.017336871497573604,29.31076091745842
16,cavg,29.231719297580483,0.0,0.006247577672928374,0.07711627580812036,0.03946442647074714,29.31076091745842
16,cips,29.412065164301435,0.0,0.010262550428430375,0.0011039992122980685,0.01809851743303296,29.31076091745842
16,cdr,29.390464128489477,0.0,0.006352601848661054,0.0010897176484362646,0.012704464439219224,29.31076091745842
17,cavg,28.44419626514124,0.0,0.7509342966455953,0.07711627580812036,0.34676372935950184,29.31076091745842
17,cips,28.746449653846177,0.0,0.31844720223964657,0.0011039992122980685,0.28205104356261873,29.31076091745842
17,cdr,28.689691788154633,0.0,0.3857268633741648,0.0010897176484362646,0.34581251437087535,29.31076091745842
18,cavg,28.937575450830472,0.0,0.1392673925023194,0.07711627580812036,0.009117823065386265,29.31076091745842
18,cips,29.199687028101902,0.0,0.012337408896784093,0.0011039992122980685,0.006060218583308197,29.31076091745842
18,cdr,29.294428391823487,0.0,0.0002667513936157484,0.0010897176484362646,0.0002781672264770789,29.31076091745842
19,cavg,29.00103570951066,0.0,0.09592970443828354,0.07711627580812036,0.0010257309075061111,29.31076091745842
19,cips,28.980744744283196,0.0,0.10891067455721945,0.0011039992122980685,0.08808411983925653,29.31076091745842
19,cdr,29.08850293550574,0.0,0.04939861054167782,0.0010897176484362646,0.035814468750212665,29.31076091745842
20,cavg,29.818415286543225,0.0,0.2577129584508905,0.07711627580812036,0.6167786168313125,29.31076091745842
20,cips,30.119353560308692,0.0,0.653822062071587,0.0011039992122980685,0.7086594416543821,29.31076091745842
20,cdr,30.08154259535684,0.0,0.594104394983903,0.0010897176484362646,0.6460824627422617,29.31076091745842
21,cavg,29.00915832442295,0.0,0.09096412412572068,0.07711627580812036,0.0005714212524202478,29.31076091745842
21,cips,29.288625034252536,0.0,0.0004899973253045373,0.0011039992122980685,0.0001230014170609099,29.31076091745842
21,cdr,29.28370361462444,0.0,0.0007320976366497623,0.0010897176484362646,3.5444981889373487e-05,29.31076091745842
22,cavg,29.39219326812239,0.0,0.0066312277346598164,0.07711627580812036,0.12897473370039578,29.31076091745842
22,cips,29.74107300657849,0.0,0.18516849404287775,0.0011039992122980685,0.21486800839764222,29.31076091745842
22,cdr,29.659767906186833,0.0,0.12180587818127403,0.0010897176484362646,0.14593764566364756,29.31076091745842
23,cavg,28.39108672626035,0.0,0.8458006179558233,0.07711627580812036,0.412133206737978,29.31076091745842
23,cips,28.99800665110364,0.0,0.09781523112311666,0.0011039992122980685,0.07813578133283826,29.31076091745842
23,cdr,28.791746927808752,0.0,0.26937552145206584,0.0010897176484362646,0.23619903068561982,29.31076091745842
24,cavg,29.055168168360304,0.0,0.06532765339153294,0.07711627580812036,0.000488649807321524,29.31076091745842
24,cips,29.07583132391073,0.0,0.05519191392448296,0.0011039992122980685,0.04068414456331671,29.31076091745842
24,cdr,29.139283464277792,0.0,0.029404516949314626,0.0010897176484362646,0.019172994195142803,29.31076091745842
25,cavg,28.62929388255279,0.0,0.46439731966307113,0.07711627580812036,0.16302929308764888,29.31076091745842
25,cips,28.701581201940083,0.0,0.3710999257990022,0.0011039992122980685,0.33172212535931,29.31076091745842
25,cdr,28.81014889648124,0.0,0.2506123955468559,0.0010897176484362646,0.21865083483306846,29.31076091745842
26,cavg,29.407348768648255,0.0,0.009329212997469633,0.07711627580812036,0.14009002860548275,29.31076091745842
26,cips,29.69396563143315,0.0,0.14684585281245538,0.0011039992122980685,0.17341494231198307,29.31076091745842
26,cdr,29.64718592355773,0.0,0.11318178472891938,0.0010897176484362646,0.13648286778343705,29.31076091745842
27,cavg,29.41547167484084,0.0,0.010964342711600157,0.07711627580812036,0.1462365907531038,29.31076091745842
27,cips,29.525187837584,0.0,0.04597890407454137,0.0011039992122980685,0.061332208375947765,29.31076091745842
27,cdr,29.686300644718234,0.0,0.14103008675037482,0.0010897176484362646,0.16691359188619434,29.31076091745842
28,cavg,28.441291958190064,0.0,0.7559762711311993,0.07711627580812036,0.3501926623713154,29.31076091745842
28,cips,28.715949887282623,0.0,0.3538001616187939,0.0011039992122980685,0.31537720295482335,29.31076091745842
28,cdr,28.689203505349997,0.0,0.38633361654692006,0.0010897176484362646,0.3463870302616253,29.31076091745842
29,cavg,29.61851842629224,0.0,0.09471468424359882,0.07711627580812036,0.3427583564890182,29.31076091745842
29,cips,29.84771923342799,0.0,0.2883242330888774,0.0011039992122980685,0.32511070565808087,29.31076091745842
29,cdr,29.926512419118765,0.0,0.37914991179696955,0.0010897176484362646,0.42089261704967473,29.31076091745842
30,cavg,28.873374834089248,0.0,0.1913065859250251,0.07711627580812036,0.02550022841871663,29.31076091745842
30,cips,29.130642911763978,0.0,0.03244249597534321,0.0011039992122980685,0.021577119263765855,29.31076091745842
30,cdr,29.078598259358508,0.0,0.05389949981601709,0.0010897176484362646,0.03966143403808658,29.31076091745842
31,cavg,29.937383349774617,0.0,0.39265567268186613,0.07711627580812036,0.817795758894722,29.31076091745842
31,cips,30.16208055108328,0.0,0.7247451185951679,0.0011039992122980685,0.7824218334943034,29.31076091745842
31,cdr,30.07819254007547,0.0,0.5889512953926377,0.0010897176484362646,0.6407081866610326,29.31076091745842
32,cavg,29.60746384482552,0.0,0.08803262710820677,0.07711627580812036,0.3299366251797274,29.31076091745842
32,cips,29.92048911752115,0.0,0.37176847795173595,0.0011039992122980685,0.4133907252414605,29.31076091745842
32,cdr,30.012603149546226,0.0,0.49258251874199366,0.0010897176484362646,0.540009084102994,29.31076091745842
33,cavg,29.098293704541106,0.0,0.04514231656485132,0.07711627580812036,0.004255078275593126,29.31076091745842
